,product_name,product_id,prices,prompts
129,Rescue Hero Play Set,166,$29.99,"Rescue Hero Play Set, kid's toy"
130,Retro Toy Car Set,167,$29.99,"Retro Toy Car Set, kid's toy"
131,Rock Climbing Play Set,168,$179.99,"Rock Climbing Play Set, kid's toy"
132,Roll-a-Ball Bowling Set,169,$29.99,"Roll-a-Ball Bowling Set, kid's toy"
133,Scary Monster Play Set,175,$19.99,"Scary Monster Play Set, kid's toy"
134,Science Lab Experiment Kit,177,$29.99,"Science Lab Experiment Kit, kid's toy"
135,Seaside Adventure Play Set,179,$39.99,"Seaside Adventure Play Set, kid's toy"
136,Sensory Play Kit,181,$29.99,"Sensory Play Kit, kid's toy"
137,Shark Attack Play Set,182,$29.99,"Shark Attack Play Set, kid's toy"
138,Skate Park Play Set,186,$29.99,"Skate Park Play Set, kid's toy"
139,Sky High Helicopter Set,187,$29.99,"Sky High Helicopter Set, kid's toy"
140,Slime Factory Kit,188,$19.99,"Slime Factory Kit, kid's toy"
141,Snug Sleepover Play Set,189,$49.99,"Snug Sleepover Play Set, kid's toy"
142,Soccer Star Play Set,190,$19.99,"Soccer Star Play Set, kid's toy"
143,Space Shuttle Adventure Set,191,$29.99,"Space Shuttle Adventure Set, kid's toy"
144,Spooky Mansion Play Set,192,$29.99,"Spooky Mansion Play Set, kid's toy"
145,Sports Stadium Play Set,193,$29.99,"Sports Stadium Play Set, kid's toy"
146,Stegosaurus Skeleton Dino Set,196,$29.99,"Stegosaurus Skeleton Dino Set, kid's toy"
147,Stellar Spaceship Play Set,197,$39.99,"Stellar Spaceship Play Set, kid's toy"
148,Strawberry Shortcake Play Set,198,$24.99,"Strawberry Shortcake Play Set, kid's toy"
149,Summer Fun Beach Set,199,$19.99,"Summer Fun Beach Set, kid's toy"
150,Superhero Action Figures,200,$19.99,"Superhero Action Figures, kid's toy"
151,Super Mario Brothers Play Set,201,$39.99,"Super Mario Brothers Play Set, kid's toy"
152,Sweet Shoppe Play Set,202,$25.99,"Sweet Shoppe Play Set, kid's toy"
153,T-Rex Dinosaur Play Set,203,$24.99,"T-Rex Dinosaur Play Set, kid's toy"
154,Table Tennis Set,204,$25.99,"Table Tennis Set, kid's toy"
155,Tasty Treats Kitchen Set,205,$29.99,"Tasty Treats Kitchen Set, kid's toy"
156,Teenage Mutant Ninja Turtles Set,207,$19.99,"Teenage Mutant Ninja Turtles Set, kid's toy"
157,Terraforming Mars Game,208,$69.99,"Terraforming Mars Game, kid's toy"
158,The Magic School Bus Science Set,209,$29.99,"The Magic School Bus Science Set, kid's toy"
159,Tiny Tots Tool Set,211,$19.99,"Tiny Tots Tool Set, kid's toy"
160,Toot-Toot Car Set,212,$29.99,"Toot-Toot Car Set, kid's toy"
161,Toy Doctor Kit,213,$19.99,"Toy Doctor Kit, kid's toy"
162,Toy Fire Truck Set,214,$29.99,"Toy Fire Truck Set, kid's toy"
163,Treehouse Play Set,218,$399.99,"Treehouse Play Set, kid's toy"
164,Triassic T-Rex Dinosaur Set,219,$29.99,"Triassic T-Rex Dinosaur Set, kid's toy"
165,Triceratops Dinosaur Set,220,$24.99,"Triceratops Dinosaur Set, kid's toy"
166,Truck and Trailer Set,221,$29.99,"Truck and Trailer Set, kid's toy"
167,Underwater Adventure Play Set,222,$24.99,"Underwater Adventure Play Set, kid's toy"
168,"Up, Up, and Away Hot Air Balloon Set",225,$29.99,"Up, Up, and Away Hot Air Balloon Set, kid's toy"
169,Vroom Vroom Car Set,228,$29.99,"Vroom Vroom Car Set, kid's toy"
170,Western Cowboy Play Set,231,$29.99,"Western Cowboy Play Set, kid's toy"
171,Winter Wonderland Play Set,233,$29.99,"Winter Wonderland Play Set, kid's toy"
172,Wizard's Castle Play Set,234,$49.99,"Wizard's Castle Play Set, kid's toy"
173,Wooden Block Variety Set,235,$29.99,"Wooden Block Variety Set, kid's toy"
174,World Map Jigsaw Puzzle Set,236,$15.99,"World Map Jigsaw Puzzle Set, kid's toy"
175,Wrestling Action Figures Set,238,$29.99,"Wrestling Action Figures Set, kid's toy"
176,Xylophone Music Set,239,$25.99,"Xylophone Music Set, kid's toy"
177,Yo-Yo Trick Set,240,$9.99,"Yo-Yo Trick Set, kid's toy"
178,Yoga Fun Mat Set,241,$29.99,"Yoga Fun Mat Set, kid's toy"
179,Yoohoo and Friends Play Set,242,$19.99,"Yoohoo and Friends Play Set, kid's toy"
180,Zippy Zoo Play Set,244,$29.99,"Zippy Zoo Play Set, kid's toy"
181,Zooming Race Car Set,247,$29.99,"Zooming Race Car Set, kid's toy"
182,Zodiac Star Sign Play Set,249,$29.99,"Zodiac Star Sign Play Set, kid's toy"
183,Zigzag Race Set,250,$29.99,"Zigzag Race Set, kid's toy"
184,Zookeeper Play Set,251,$29.99,"Zookeeper Play Set, kid's toy"
185,Zoo Train Play Set,252,$29.99,"Zoo Train Play Set, kid's toy"
186,Zip Line Adventure Set,253,$79.99,"Zip Line Adventure Set, kid's toy"
187,Zoo Animals Play Set,257,$24.99,"Zoo Animals Play Set, kid's toy"
188,Zestful Zoo Play Set,258,$29.99,"Zestful Zoo Play Set, kid's toy"
189,Zen Garden Play Set,261,$19.99,"Zen Garden Play Set, kid's toy"
190,Zingy Zebra Play Set,263,$29.99,"Zingy Zebra Play Set, kid's toy"
191,Zany Zoo Play Set,265,$39.99,"Zany Zoo Play Set, kid's toy"
192,Zephyr Zone Play Set,269,$39.99,"Zephyr Zone Play Set, kid's toy"
193,Zig Zag Road Racing Set,270,$29.99,"Zig Zag Road Racing Set, kid's toy"
194,Zingy Zipper Play Set,272,$19.99,"Zingy Zipper Play Set, kid's toy"
195,Zany Zoological Play Set,273,$29.99,"Zany Zoological Play Set, kid's toy"
196,Zippy Zebra Play Set,274,$29.99,"Zippy Zebra Play Set, kid's toy"
197,Zen Monkey Play Set,277,$24.99,"Zen Monkey Play Set, kid's toy"
198,Zero Gravity Flight Set,279,$39.99,"Zero Gravity Flight Set, kid's toy"
199,Zooming Rocket Launch Set,280,$29.99,"Zooming Rocket Launch Set, kid's toy"
200,Zigzagging Slope Play Set,281,$39.99,"Zigzagging Slope Play Set, kid's toy"
201,Zany Zealot Set,282,$29.99,"Zany Zealot Set, kid's toy"
202,Zippy Zipper Set,283,$14.99,"Zippy Zipper Set, kid's toy"
203,Zombie Survival Play Set,287,$19.99,"Zombie Survival Play Set, kid's toy"
204,Zipping Funfair Play Set,288,$39.99,"Zipping Funfair Play Set, kid's toy"
205,Zigzagging Slot Car Set,290,$49.99,"Zigzagging Slot Car Set, kid's toy"
206,Zany Zebra Play Set,292,$24.99,"Zany Zebra Play Set, kid's toy"
207,Zany Zipline Adventure Set,299,$69.99,"Zany Zipline Adventure Set, kid's toy"
208,Zippy Zookeeper Adventure Set,300,$29.99,"Zippy Zookeeper Adventure Set, kid's toy"
